Name,Latitude,Longitude
"['Blue Valley', 'Wayne County', 'Utah Territory']",:(,:(
"['Bluewater', 'Valencia County', 'New Mexico Territory']",:(,:(
"['Bluff', 'San Juan County', 'Utah Territory']",:(,:(
"['Bluffdale', 'Salt Lake and Utah Counties', 'Utah']",40.4744,-111.9381
"['Bluffdale', 'Salt Lake and Utah Counties', 'Utah Territory']",40.4744,-111.9381
"['Boardentown', 'Burlington County', 'New Jersey']",:(,:(
"['Bodenham', 'Herefordshire', 'England']",:(,:(
"['Bolivar', 'Hardeman County', 'Tennessee']",,
"['Bolton', 'Lancashire', 'England']",53.578,-2.429
"['Bombay', 'British India']",:(,:(
"['Bonanza', 'Klamath County', 'Oregon']",,
"['Bonaparte', 'Van Buren County', 'Iowa']",:(,:(
"['Boone County', 'Missouri']",:(,:(
"['Bordentown', 'Burlington County', 'New Jersey']",40.142,-74.7098
"['Bornholm', 'Denmark']",:(,:(
"['Bosley', 'Cheshire', 'England']",41.5113,-72.9036
"['Bosque County', 'Texas']",:(,:(
"['Boston', 'Nelson County', 'Kentucky']",,
"['Boston', 'Suffolk County', 'Massachusetts']",42.3188,-71.0852
"['Boston Common', 'Boston', 'Suffolk County', 'Massachusetts']",42.3188,-71.0852
"['Bouctouche', 'Kent County', 'New Brunswick', 'British North America']",40.487,-74.445
"['Boulder', 'Boulder County', 'Colorado']",-22.8378,-51.9728
"['Bountiful', 'Davis County', 'Utah']",40.8721,-111.8647
"['Bountiful', 'Davis County', 'Utah Territory']",40.8721,-111.8647
"['Bountiful Meeting House', 'Bountiful', 'Davis County', 'Utah Territory']",40.8721,-111.8647
"['Bowery', 'Box Elder County', 'Utah Territory']",:(,:(
"['Bowery', 'Great Salt Lake City', 'Great Salt Lake County', 'Utah Territory']",:(,:(
"['Bowery', 'Salt Lake City', 'Salt Lake County', 'Utah Territory']",,
"['Bowling Green Township', 'Fayette County', 'Illinois']",:(,:(
"['Box Elder Canyon', 'Box Elder County', 'Utah Territory']",:(,:(
"['Box Elder County', 'Utah Territory']",:(,:(
"['Box Elder County Courthouse', 'Brigham City', 'Box Elder County', 'Utah Territory']",41.5035,-112.0453
"['Boydsville', 'Weakley County', 'Tennessee ']",:(,:(
"['Bradford', 'Essex County', 'Massachusetts']",53.8,-1.75
"['Bradford', 'Penobscot County', 'Maine']",53.8,-1.75
"['Bradford', 'Yorkshire', 'England']",38.7882,-77.4496
"['Bradley-Green', 'Staffordshire', 'England']",:(,:(
"['Bradleysville', 'Litchfield County', 'Connecticut']",:(,:(
"['Braintree', 'Essex', 'England']",,
"['Brampton', 'Cumberland', 'England']",,
"['Branch Creek', 'Davis County', 'Utah Territory']",:(,:(
"['Brand Lodge', 'Colwall', 'Herefordshire', 'England']",:(,:(
"['Brandon', 'Manitoba', 'Canada']",49.8483,-99.95
"['Brangreen', 'Newent', 'Gloucestershire', 'England']",:(,:(
"['Brattleboro', 'Windham County', 'Vermont']",42.8619,-72.6145
"['Brazos River', 'Texas']",:(,:(
"['Bredstrup', 'Nørre Nærå', 'Skam', 'Odense', 'Denmark']",55.3958,10.3886
"['Breightmet', 'Lancashire', 'England']",:(,:(
"['Brewers Mills', 'Pittsburgh Township', 'Frontenac County', 'Canada West', 'British North America']",:(,:(
"['Brewett Lye', 'Herefordshire', 'England']",:(,:(
"['Bridge of Weir', 'Renfrewshire', 'Scotland']",:(,:(
"['Bridgeport', 'Fairfield County', 'Connecticut']",41.1918,-73.1954
"['Bridgeport', 'Marion County', 'Indiana']",40.622,-79.1552
"['Bridgewater', 'Beaver County', 'Pennsylvania']",,
"['Bridgewater', 'Windsor County', 'Vermont']",,
"['Brigham City', 'Apache County', 'Arizona Territory']",41.5035,-112.0453
"['Brigham City', 'Box Elder County', 'Utah']",41.5035,-112.0453
"['Brigham City', 'Box Elder County', 'Utah Territory']",41.5035,-112.0453
"['Brigham City Bowery', 'Brigham City', 'Apache County', 'Arizona Territory']",41.5035,-112.0453
"['Brigham City Mill', 'Brigham City', 'Apache County', 'Arizona Territory']",41.5035,-112.0453
"['Brigham Young Academy', 'Provo', 'Utah County', 'Utah']",40.2457,-111.6457
"['Brigham Young Academy', 'Provo', 'Utah County', 'Utah Territory']",40.2457,-111.6457
"['Brigham Young College', 'Logan', 'Cache County', 'Utah']",41.7399,-111.8422
"['Brigham Young College', 'Logan', 'Cache County', 'Utah Territory']",,
"['Brigham Young Family Cemetery', 'Salt Lake City', 'Salt Lake County', 'Utah Territory']",,
"['Brigham Young Winter Home', 'St. George', 'Washington County', 'Utah Territory']",37.0758,-113.5752
"['Brighouse', 'Yorkshire', 'England']",38.7882,-77.4496
"['Brighton', 'Clark County', 'Ohio']",,
"['Brighton', 'Livingston County', 'Michigan']",,
"['Brighton', 'Suffolk County', 'Massachusetts']",,
"['Brighton', 'Sussex', 'England']",43.1346,-88.2226
"['Brigsteer', 'Westmorland', 'England']",:(,:(
"['Bringsty Common', 'Herefordshire', 'England']",:(,:(
"['Brinton', 'Salt Lake County', 'Utah']",:(,:(
"['Brisbane', 'Queensland', 'Australia']",22.4995,-81.1359
"['Bristol', 'Gloucestershire', 'England']",,
"['British Columbia', 'Canada']",:(,:(
['British Isles'],:(,:(
"['British Museum', 'London', 'Middlesex', 'England']",40.5744,-74.5011
"['Broadbottom', 'Cheshire', 'England']",41.5113,-72.9036
"['Broadheath', 'Worcestershire', 'England']",:(,:(
"['Broadway', 'New York City', 'New York County', 'New York']",40.6943,-73.9249
"['Brockport', 'Monroe County', 'New York']",40.6943,-73.9249
"['Bromyard', 'Herefordshire', 'England']",:(,:(
"['Brooklyn', 'Kings County', 'New York']",40.6943,-73.9249
"['Brownstown', 'Wayne County', 'Michigan']",:(,:(
"['Brownsville', 'Fayette County', 'Pennsylvania']",,
"['Brownsville', 'Houston County', 'Minnesota']",,
"['Brunswick', 'Cumberland County', 'Maine']",43.9007,-69.9761
"['Brunswick', 'Medina County', 'Ohio']",41.2465,-81.8198
"['Brush Creek', 'Graves County', 'Kentucky']",:(,:(
"['Brutus', 'Cayuga County', 'New York']",40.6943,-73.9249
"['Bryce', 'Graham County', 'Arizona Territory']",:(,:(
"['Buckhorn Springs', 'Iron County', 'Utah Territory']",:(,:(
"['Buckingham', 'Buckinghamshire', 'England']",,
"['Buckingham Palace', 'Westminster', 'Middlesex', 'England']",40.5744,-74.5011
"['Buckland', 'Portsmouth', 'Hampshire', 'England']",,
"['Buckskin Mountain', 'Arizona and Utah Territories']",:(,:(
"['Bucksport', 'Hancock County', 'Maine']",:(,:(
"['Bucyrus', 'Crawford County', 'Ohio']",40.8054,-82.9719
"['Buena Vista Ranch', 'Pima County', 'Arizona Territory']",:(,:(
"['Buffalo', 'Dallas County', 'Missouri']",,
"['Buffalo', 'Erie County', 'New York']",40.6943,-73.9249
"['Bull Run', 'Prince William County', 'Virginia']",,
"['Bullion-Beck Mine', 'Juab County', 'Utah Territory']",:(,:(
"['Bundysburg', 'Geauga County', 'Ohio']",:(,:(
"['Bunker Hill Monument', 'Charlestown', 'Middlesex County', 'Massachusetts']",:(,:(
"['Bunkerville', 'Lincoln County', 'Nevada']",:(,:(
"['Burbank', 'Millard County', 'Utah']",,
"['Burley', 'Cassia and Lincoln Counties', 'Idaho']",42.5379,-113.7926
"['Burlington', 'Big Horn County', 'Wyoming']",,
"['Burlington', 'Des Moines County', 'Iowa']",40.8071,-91.1247
"['Burlington', 'Hartford County', 'Connecticut']",41.7598,-72.959
"['Burlington', 'Kane County', 'Illinois']",,
"['Burnley', 'Lancashire', 'England']",53.789,-2.248
"['Burrard Inlet', 'British Columbia', 'Canada']",:(,:(
"['Burrville', 'Sevier County', 'Utah Territory']",:(,:(
"['Burslem', 'Staffordshire', 'England']",53.0426,-2.1879
"['Bury', 'Lancashire', 'England']",53.593,-2.298
"['Bush Bank', 'Herefordshire', 'England']",:(,:(
"['Bush Valley Fort', 'Apache County', 'Arizona Territory']",:(,:(
"['Bushnell Basin', 'New York']",40.6943,-73.9249
"['Butlerville', 'Salt Lake County', 'Utah Territory']",:(,:(
"['Butte', 'Silver Bow County', 'Montana']",43.4075,23.2217
"['Buxton', 'York County', 'Maine']",53.259,-1.911
"['Buysville', 'Wasatch County', 'Utah Territory']",:(,:(
"['Cabotville', 'Hampden County', 'Massachusetts']",:(,:(
"['Cache County', 'Utah']",:(,:(
"['Cache County', 'Utah Territory']",:(,:(
"['Cache Valley', 'Idaho and Utah Territories']",:(,:(
"['Cadron Creek', 'Arkansas Territory']",:(,:(
"['Cadron Settlement', 'Faulkner County', 'Arkansas Territory']",:(,:(
"['Caesarea', 'Israel']",:(,:(
"['Caineville', 'Wayne County', 'Utah']",:(,:(
"['Calcutta', 'British India']",:(,:(
"['Caldwell County', 'Missouri']",:(,:(
"['Calgary', 'Northwest Territories', 'Canada']",51.05,-114.0667
['California'],38.2969,-76.4949
['California Territory'],:(,:(
"['Calistoga', 'Napa County', 'California']",38.2969,-76.4949
"['Calloway County', 'Kentucky']",:(,:(
"['Calls Fort', 'Box Elder County', 'Utah']",:(,:(
"['Calls Fort', 'Box Elder County', 'Utah Territory']",:(,:(
"['Camas', 'Fremont County', 'Idaho']",,
"['Cambridge', 'Cambridgeshire', 'England']",,
"['Cambridge', 'Middlesex County', 'Massachusetts']",42.3759,-71.1185
